movie_id,imdb_id,tmdb_id,rating,average_rating,title
1,0114709,862,4.0,3.89236,Toy Story (1995)
2,0113497,8844,3.5,3.27331,Jumanji (1995)
5,0113041,11862,2.0,3.07608,Father of the Bride Part II (1995)
7,0114319,11860,3.0,3.37153,Sabrina (1995)
9,0114576,9091,3.5,3.00131,Sudden Death (1995)
10,0113189,710,3.5,3.43432,GoldenEye (1995)
12,0112896,12110,4.0,2.68061,Dracula: Dead and Loving It (1995)
13,0112453,21032,3.0,3.35269,Balto (1995)
19,0112281,9273,2.5,2.66544,Ace Ventura: When Nature Calls (1995)
23,0112401,9691,3.5,3.158,Assassins (1995)
32,0114746,63,3.0,3.89579,Twelve Monkeys (1995)
34,0112431,9598,3.0,3.59385,Babe (1995)
38,0113442,33689,2.5,2.93633,It Takes Two (1995)
39,0112697,9603,3.0,3.42794,Clueless (1995)
44,0113855,9312,3.0,2.64287,Mortal Kombat (1995)
47,0114369,807,4.0,4.08482,Se7en (1995)
48,0114148,10530,2.5,2.97775,Pocahontas (1995)
70,0116367,755,3.0,3.33797,From Dusk Till Dawn (1996)
76,0114367,9102,3.0,3.02337,Screamers (1995)
104,0116483,9614,3.5,3.39505,Happy Gilmore (1996)
110,0112573,197,5.0,3.99683,Braveheart (1995)
111,0075314,103,4.0,4.08146,Taxi Driver (1976)
112,0113326,33542,4.0,3.39639,Rumble in the Bronx (1995)
135,0116130,9101,3.0,3.00082,Down Periscope (1996)
141,0115685,11000,4.0,3.52332,The Birdcage (1996)
145,0112442,9737,3.5,3.2801,Bad Boys (1995)
150,0112384,568,4.0,3.88767,Apollo 13 (1995)
151,0114287,11780,4.0,3.51932,Rob Roy (1995)
153,0112462,414,3.0,2.89121,Batman Forever (1995)
158,0112642,8839,2.0,2.88883,Casper (1995)
160,0112715,10329,2.5,2.60638,Congo (1995)
163,0112851,8068,3.5,3.43355,Desperado (1995)
165,0112864,1572,4.0,3.51525,Die Hard: With a Vengeance (1995)
168,0113071,6520,3.0,3.06125,First Knight (1995)
